Agreeableness,Conscientiousness,Extraversion,Neuroticism,Openness,Depression,Trait_anxiety,State_anxiety,Sex
111,119,74,84,131,1,39,32,Male
118,102,105,80,139,2,40,32,Male
132,110,92,51,117,3,31,32,Male
97,96,62,102,NA,3,47,39,Male
129,129,110,107,127,8,36,48,Female
NA,111,124,82,104,22,52,55,Female
112,115,95,74,126,NA,29,39,Male
114,87,106,70,131,4,32,36,Female
122,95,97,77,103,14,34,40,Female
NA,110,63,104,144,8,53,52,Male
100,97,131,67,121,NA,27,38,Male
135,125,90,79,101,10,34,44,Female
91,116,87,106,129,7,44,40,Male
97,81,100,103,121,6,52,48,Male
122,100,NA,76,107,7,38,66,Male
129,93,78,NA,126,8,45,44,Male
136,78,101,77,136,14,38,39,Female
NA,120,68,69,112,7,53,54,Male
100,105,105,57,112,0,28,36,Male
129,106,104,53,110,NA,23,23,Male
130,NA,63,92,131,4,45,50,Male
124,133,122,71,134,10,31,44,Male
113,NA,77,117,101,11,51,47,Female
124,108,NA,69,101,NA,NA,33,Male
NA,102,96,56,99,10,45,31,Male
110,89,24,80,75,9,60,55,Male
110,72,93,86,NA,7,41,45,Female
110,84,114,102,116,11,47,45,Male
157,124,121,129,172,11,36,26,Female
157,147,129,117,134,11,NA,69,Male
NA,136,112,78,132,4,36,28,Male
150,178,150,100,NA,6,30,33,Male
92,70,96,112,106,6,46,53,Male
138,NA,NA,128,142,9,44,55,Male
135,122,118,103,136,8,45,40,Female
133,141,105,109,152,5,40,31,Male
141,NA,154,101,133,NA,29,27,Male
155,132,129,104,157,13,46,48,Female
140,115,91,81,161,6,33,39,Female
137,128,126,NA,133,8,40,39,Male
130,127,107,112,88,18,37,59,Male
129,142,100,144,161,6,40,42,Female
153,114,123,58,138,3,29,29,Male
141,157,146,99,143,4,31,23,Male
126,118,123,118,173,4,42,41,Male
134,152,126,142,110,18,47,37,Female
142,134,126,101,147,8,44,39,Male
153,140,82,105,139,1,33,33,Female
103,103,121,NA,135,0,29,NA,Male
152,167,83,127,157,15,35,65,Female
103,75,91,127,145,9,58,48,Female
144,122,137,91,140,4,33,33,Male
138,176,127,98,118,2,30,32,Male
160,151,NA,63,132,0,NA,24,Male
142,NA,107,98,173,NA,34,23,Male
77,104,98,125,96,23,50,57,Female
159,136,117,93,124,8,46,38,Female
149,133,78,58,153,1,28,28,Male
147,115,146,90,147,4,NA,36,Male
131,134,112,111,128,11,34,34,Male
149,147,150,102,159,6,29,33,Male
167,155,107,91,136,NA,31,61,Male
159,170,151,75,151,0,28,54,Male
155,130,97,112,138,14,36,55,Female
140,138,123,97,150,6,NA,30,Female
150,125,116,123,149,2,46,44,Male
123,109,118,NA,149,8,46,60,Male
158,111,147,47,132,0,33,28,Female
151,132,115,59,142,5,27,25,Female
NA,130,116,101,133,2,31,NA,Male
139,131,139,112,121,10,45,42,Female
134,108,120,98,134,2,35,34,Male
138,94,94,94,134,5,39,34,Female
123,118,168,79,163,2,30,27,Male
124,97,113,130,122,22,NA,52,Male
153,128,87,NA,147,8,54,34,Male
151,73,147,93,156,NA,44,38,Male
NA,102,NA,107,131,NA,50,42,Male
126,122,120,120,143,25,55,50,Male
147,119,102,81,142,2,26,21,Female
139,105,125,98,130,2,34,38,Male
136,122,119,105,139,14,43,43,Male
134,99,109,NA,126,NA,37,39,Male
157,123,143,134,152,1,40,34,Female
153,132,115,114,137,10,42,37,Male
99,137,106,65,129,0,26,31,Female
140,99,114,104,136,5,42,46,Male
165,157,152,62,142,NA,26,NA,Male
135,121,133,95,151,6,29,34,Male
140,101,144,142,167,19,51,53,Female
136,136,125,103,127,15,44,46,Female
143,136,110,93,131,0,NA,26,Male
153,109,133,96,NA,6,38,36,Female
140,141,NA,84,108,7,34,29,Female
133,90,124,104,127,5,42,40,Female
155,129,127,88,110,9,35,34,Female
162,152,163,104,164,1,29,47,Female
95,111,75,123,138,5,39,58,Female
85,62,90,131,96,24,58,58,Female
